date,machine learning
2023-01-01,74
2023-01-08,84
2023-01-15,88
2023-01-22,95
2023-01-29,94
2023-02-05,94
2023-02-12,96
2023-02-19,90
2023-02-26,92
2023-03-05,95
2023-03-12,79
2023-03-19,87
2023-03-26,92
2023-04-02,94
2023-04-09,88
2023-04-16,95
2023-04-23,98
2023-04-30,90
2023-05-07,83
2023-05-14,86
2023-05-21,83
2023-05-28,78
2023-06-04,84
2023-06-11,76
2023-06-18,74
2023-06-25,84
2023-07-02,77
2023-07-09,83
2023-07-16,77
2023-07-23,85
2023-07-30,73
2023-08-06,82
2023-08-13,79
2023-08-20,85
2023-08-27,91
2023-09-03,84
2023-09-10,88
2023-09-17,90
2023-09-24,94
2023-10-01,91
2023-10-08,88
2023-10-15,92
2023-10-22,100
2023-10-29,94
2023-11-05,87
2023-11-12,93
2023-11-19,78
2023-11-26,92
2023-12-03,98
2023-12-10,93
2023-12-17,67
2023-12-24,61
2023-12-31,70
